company_name,industry,sector,headquarters,file_name
EFACEC,Industrials,Electronic equipment,Matosinhos,MalPatSaj_wikipedia
Energias de Portugal (EDP),Utilities,Conventional electricity,Lisbon,MalPatSaj_wikipedia
Fábrica Nacional de Munições de Armas Ligeiras,Industrials,Defense,Lisbon,MalPatSaj_wikipedia
Galp Energia,Utilities,Gas distribution,Lisbon,MalPatSaj_wikipedia
Glintt,Technology,Software,Lisbon,MalPatSaj_wikipedia
Grupo José de Mello,Conglomerates,-,Lisbon,MalPatSaj_wikipedia
Iberomoldes,Industrials,General industries,Marinha Grande,MalPatSaj_wikipedia
Impresa,Consumer services,Media,Oeiras,MalPatSaj_wikipedia
Jerónimo Martins,Consumer services,Retail,Lisbon,MalPatSaj_wikipedia
Lactogal,Consumer goods,Food & beverage,Porto,MalPatSaj_wikipedia
